Date,Diagnosis,Mean CBL Pressure (hpa),Wind Direction at max 10 min mean (deg),Highest Gust (kt),Maximum Air Temperature (C),Highest ten minute mean wind speed (kt),Minimum Air Temperature (C),Potential Evapotranspiration (mm),Precipitation Amount (mm),Soil Moisture Deficits (mm),moderately drained Soil Moisture Deficits (mm),poorly drained Soil Moisture Deficits (mm),well drained Mean 10cm soil temperature (C),Sunshine duration (hours),Mean Wind Speed (kt)
01-01-03,0,981.8,130,30,11.3,22,6.7,0.1,9.7,-9.6,-10,0,7.9,2.5,12.2
02-01-03,0,978.5,330,26,8.3,18,3.2,0.3,3.3,-3,-10,0,7.425,0.1,9.6
03-01-03,0,993.5,30,24,4.4,17,-0.9,0.3,8.9,-8.6,-10,0,5.125,2.6,10.8
04-01-03,0,1007,310,14,4,10,-3.5,0.1,0,0.1,-9.4,0.1,2.575,5.5,5.5
05-01-03,0,1006.3,120,18,4.8,10,-4.4,0.2,0,0.3,-8.7,0.3,1.75,5.1,5
06-01-03,0,1007.8,120,28,5.1,20,0,0.6,0,0.9,-7.7,0.9,1.625,3,10.3
07-01-03,0,1006.9,110,35,2.6,25,-0.2,1,0,1.9,-6.3,1.9,1.575,0.4,19.2
08-01-03,0,1010.6,120,24,5.7,16,-0.5,0.9,0.1,2.6,-5.2,2.6,1.45,1.3,11.6
09-01-03,0,1018.3,40,34,6.5,21,2.4,0.7,2.6,0.7,-6.9,0.7,2.6,1.7,11.1
10-01-03,0,1023.8,10,13,4.6,9,-2.3,0.5,0.1,1.1,-6.2,1.1,2.95,0,5.5
11-01-03,0,1025.7,270,11,6.8,8,-3.6,0.2,0,1.2,-5.7,1.2,1.85,6.2,4.4
12-01-03,0,1020.6,240,33,8.4,23,-0.1,0.4,0,1.6,-5,1.6,2.25,0,14.8
13-01-03,0,1015.2,240,32,9.9,23,8.3,0.5,1.8,0.3,-6.1,0.3,5.95,0,17.3
14-01-03,0,1008,230,44,10.2,31,9,1,0.2,1.1,-5,1.1,6.85,0,20.1
15-01-03,0,1006.2,240,36,9.8,25,4.6,0.6,1.8,-0.1,-5.9,0,5.875,5.3,17.5
16-01-03,0,1003.2,200,44,12.1,28,4.5,1.1,0,1.1,-4.5,1.1,5,0.5,18.1
17-01-03,0,995,210,50,12,32,3.4,0.8,10.6,-8.8,-10,0,6.125,4,16.3
18-01-03,0,992.8,180,26,9.3,17,3.8,0.6,6.9,-6.3,-10,0,5.125,0,9.2
19-01-03,0,982.8,230,19,8.5,13,2.4,0.3,0,0.3,-9.2,0.3,4.725,3.3,6.3
20-01-03,0,971.2,140,32,9.4,23,3.2,0.2,2.4,-1.9,-10,0,5.425,4,12.6
21-01-03,0,969.6,300,17,7.6,11,1.6,0.2,0,0.2,-9.3,0.2,4.7,0.3,5.9
22-01-03,0,991.5,310,36,7.4,23,-0.9,0.5,0,0.6,-8.4,0.6,4.45,5.3,14
23-01-03,0,1012.7,200,20,10,13,-1.6,0.2,0,0.9,-7.7,0.9,3.225,5.4,7.7
24-01-03,0,1015.3,220,35,12,25,9,0.9,1.5,0.3,-7.9,0.3,6.175,0.1,15.5
25-01-03,0,1015.3,260,40,10.7,27,6.6,0.6,1.6,-0.7,-8.5,0,6.7,4.2,14.6
26-01-03,0,1018.7,260,38,12.7,27,7.9,0.7,0,0.7,-7.4,0.7,7.8,1.4,20.9
27-01-03,0,1016.8,290,37,12,27,4,0.9,0.9,0.6,-7,0.6,8.25,0.1,18.7
